Category,Question,"Question Image","Explanation Image",Explanation,"Option 1","Option 2","Option 3","Option 4",Answer
"CSP Box Features","What unique feature does the CSP box lid include?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Closed.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Locked_Lid_90.jpg,"The CSP lid can conveniently open and lock at both 90","Locks at 45","Locks at 90","Doesn't lock at any angle.",,1
"CSP Box Features","What is the primary function of the CSP Demarcation Box?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Q6_1.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Full.jpg,"The CSP Demarcation box is made to accommodate a wide variety of cable types, making it a versatile solution for single-dwelling unit fibre rollouts. The CSP accepts over a hundred different widely-available cable types for fibre optic connections, but is useful mainly in the single-dwelling unit market. The closure has space for up to six splices, so it cannot be used for distribution in most multi-dwelling scenarios.","For installation of fibre optic connections in multi-dwelling units.","For installation of copper connections.","For installation of fibre optic connections in single-dwelling units.","For inline splicing of fibre optic cable to repair faults.",2
"CSP Box Features","How is the CSP sealed after installation is completed?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Full.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Closed.jpg,"The CSP is sealed by closing the lid and tightening the security screws which ensures the cables and splice are protected.","The CSP seals when you close the lid.","By securing the two security screws at the base of the box.","You should glue the CSP closed.",,1
"CSP Box Features","How should you mount the CSP to the customer's wall?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Full.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Mounting_Points.jpg,"The CSP has three mounting points available to securely mount the CSP to the customer's wall.","By securing screws in two corners of the CSP.","Create holes in the CSP with a drill to secure it to the wall.","Mount the CSP using glue.","By securing the screws to the three mounting points at the back of the CSP.",3
"CSP Box Features","Where can you find a list of all the tools needed for the installation?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/H_U_Kit.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Kit_Contents.jpg,"The kit contents can be found in this training guide at any time.","No tools are needed.","Use any tools you have available.","In this app.",,2
"Inside/Out Cable","Which layer of Inside/Out cable is suitable for use outside of the customer premises?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Wall.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/ECLI.jpg,"Both the inner and outer sheathing of the Inside/Out cable is UV protected and can be used outside the customer premises. The white inner sheathing should be used in situations where the external colour of the customer's premises is a lighter colour.","Only the outer sheathing is UV protected for use outside the customer premises.","Both the outer sheathing and the inner sheathing of the Inside/Out cable is UV protected and can be used outside the customer premises.","Only the inner sheathing is suitable for use outside the customer premises.",,1
"Inside/Out Cable","Which piece of equipment is used to manage the bend radius of the cable leading from inside to outside the dwelling?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Wall.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/ECLI.jpg,"The ECLI/ICLI manages the cable bend radius leading from inside to outside the customer dwelling.",CSP.,ONT.,"Inside/Out Cable.",ECLI/ICLI.,3
"Inside/Out Cable","When measuring the length of Inside/Out cable needed for the installation what lengths need to be taken into account?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Wall.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Lead_In_Arrow.jpg,"Ensure there is enough cable to reach from the customers ONT to the CSP from inside to outside and the necessary amount of slack.","Only the length from the CSP to the ONT.","The total distance between the ONT to the CSP, including inside length, outside length and the necessary slack.","The length from the CSP to the ECLI.","Any length of cable.",1
"Inside/Out Cable","Where in the CSP should the outgoing Inside/Out cable slack be stored?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Empty.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Full.jpg,"The outgoing Inside/Out cable should be stored in the outer slack management clips.","In the inner slack storage.","In the outer slack management clips.","In either slack storage section.",,1
"Inside/Out Cable","Which tool is used for stripping the Inside/Out Fibre Cable?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Cable_Ready_to_Strip.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Cable_Being_Stripped.jpg,"A three-hole fibre stripper allows for the stripping of the cable sheathing down to three specific cable diameters.","Any cable stripper.","A cable snips.","An open-edged blade.","A three-hole fibre stripper.",3
